Date,Time,Activity,Title,Details,text
2025-11-05,14:10 - 15:10,Plenary 1,FCA on Consumer Duty,"
In a post-Consumer Duty world, it is expected that all insurers act to deliver good customer outcomes. This has been a material change to the regulatory landscape and has required considerable resource from firms to implement. 
To build on this, the FCA has recently launched its strategy for the next five years. This will focus on four key areas:   
Being a smarter regulator 
Helping consumers 
Fighting financial crime 
Supporting growth 
Speakers from the FCA will explain how these areas will drive the work programme for life insurance supervision and build on the Consumer Duty.
They will share some specific areas that will be the focus for the next five years and enable the audience to get an early insight into why these areas have been chosen. 
The session will be interactive, allowing the audience to contribute questions to the speakers. 
Speakers: Andrew Ruddle and Andrew Kay, FCA","Date and Time: 2025-11-05; 14:10 - 15:10
Session: Plenary 1: FCA on Consumer Duty
Details: 
In a post-Consumer Duty world, it is expected that all insurers act to deliver good customer outcomes. This has been a material change to the regulatory landscape and has required considerable resource from firms to implement. 
To build on this, the FCA has recently launched its strategy for the next five years. This will focus on four key areas:   
Being a smarter regulator 
Helping consumers 
Fighting financial crime 
Supporting growth 
Speakers from the FCA will explain how these areas will drive the work programme for life insurance supervision and build on the Consumer Duty.
They will share some specific areas that will be the focus for the next five years and enable the audience to get an early insight into why these areas have been chosen. 
The session will be interactive, allowing the audience to contribute questions to the speakers. 
Speakers: Andrew Ruddle and Andrew Kay, FCA"
2025-11-05,15:10 - 16:10,Professional Skills,Professional Skills,"
This will be your regular conference dose of Professional Skills, presented by Peter Heffernan, Chair of the Professional Skills Working Group, and Michelle Lister, Chair of the Life Lifelong Learning Sub-committee. 
From the people (well, Peter) who brought you ‘The Waterfall of Calamity’ and ‘The Only Way is Ethics’, the session is 100% guaranteed to be (a) interactive, (b) stimulating and (c) informative. 
Speakers: Peter Heffernan, Chair of the Professional Skills Working Group, and Michelle Lister, Chair of the Life Lifelong Learning Sub-committee","Date and Time: 2025-11-05; 15:10 - 16:10
Session: Professional Skills: Professional Skills
Details: 
This will be your regular conference dose of Professional Skills, presented by Peter Heffernan, Chair of the Professional Skills Working Group, and Michelle Lister, Chair of the Life Lifelong Learning Sub-committee. 
From the people (well, Peter) who brought you ‘The Waterfall of Calamity’ and ‘The Only Way is Ethics’, the session is 100% guaranteed to be (a) interactive, (b) stimulating and (c) informative. 
Speakers: Peter Heffernan, Chair of the Professional Skills Working Group, and Michelle Lister, Chair of the Life Lifelong Learning Sub-committee"
2025-11-05,16:40 - 17:25,Workshop A1 | Protection health and care,FCA Consumer Duty: price and value for unit-linked pensions and savings ,"
During 2025 the FCA has been conducting a review into non-workplace pensions and savings products which allow investment into unit-linked funds. A key objective of the review is for the FCA to understand how firms are meeting the price and value requirements of the Consumer Duty, both for open and closed (legacy) products.  
The FCA will present key findings from the review and look to discuss several key areas of focus: 
The key challenges insurers face in identifying whether products offer fair value 
The adequacy of current fair value approaches by firms 
How outcomes differ for different groups of customers: for example, new or legacy customers, customers with larger or smaller pots 
What firms or regulators may be able to do to improve the value provided to customers 
Speakers: Andrew Ruddle, David Berenbaum and Stefan Ielapi, FCA","Date and Time: 2025-11-05; 16:40 - 17:25
Session: Workshop A1 | Protection health and care: FCA Consumer Duty: price and value for unit-linked pensions and savings 
Details: 
During 2025 the FCA has been conducting a review into non-workplace pensions and savings products which allow investment into unit-linked funds. A key objective of the review is for the FCA to understand how firms are meeting the price and value requirements of the Consumer Duty, both for open and closed (legacy) products.  
The FCA will present key findings from the review and look to discuss several key areas of focus: 
The key challenges insurers face in identifying whether products offer fair value 
The adequacy of current fair value approaches by firms 
How outcomes differ for different groups of customers: for example, new or legacy customers, customers with larger or smaller pots 
What firms or regulators may be able to do to improve the value provided to customers 
Speakers: Andrew Ruddle, David Berenbaum and Stefan Ielapi, FCA"
2025-11-05,16:40 - 17:25,Workshop A2 | Protection health and care | Mental Health Working Party,Mind matters: mental health as a strategic priority for insurers ,"
Mental health is no longer just a wellbeing issue – it’s a strategic imperative for insurers. With rising claims, increased public awareness, and growing demand for support across all demographics, insurers have a pivotal role to play in reshaping how mental health is approached across prevention, treatment, and rehabilitation. 
We will explore the evolving role of insurers in addressing mental health from a holistic and long-term perspective. Drawing on insights from across the insurance value chain – including pricing, product design, claims, digital health, and customer engagement – we’ll discuss how insurers can move from reactive claims management to proactive, personalised mental health support. 
We’ll share practical examples and emerging innovations, including digital tools for early intervention, integration of mental health within broader health products, and the challenges and opportunities in underwriting and product strategy.  
The session will discuss the responsibilities insurers have under the Consumer Duty and ESG agendas, and how mental health investment can promote long-term customer outcomes and sustainable growth. 
This talk offers a multi-faceted, real-world view of the current state – and future possibilities – for mental health in insurance. 
This session will be jointly presented by professionals from two different organisations. Lisa Balboa is the Head of Life & Digital Business Accelerator at a global reinsurer, who also brings deep health industry expertise and plays an active role in the IFoA’s Mental Health Working Party. 
Speakers: Lisa Balboa, Hannover Re, and Joe Wilson, RGA","Date and Time: 2025-11-05; 16:40 - 17:25
Session: Workshop A2 | Protection health and care | Mental Health Working Party: Mind matters: mental health as a strategic priority for insurers 
Details: 
Mental health is no longer just a wellbeing issue – it’s a strategic imperative for insurers. With rising claims, increased public awareness, and growing demand for support across all demographics, insurers have a pivotal role to play in reshaping how mental health is approached across prevention, treatment, and rehabilitation. 
We will explore the evolving role of insurers in addressing mental health from a holistic and long-term perspective. Drawing on insights from across the insurance value chain – including pricing, product design, claims, digital health, and customer engagement – we’ll discuss how insurers can move from reactive claims management to proactive, personalised mental health support. 
We’ll share practical examples and emerging innovations, including digital tools for early intervention, integration of mental health within broader health products, and the challenges and opportunities in underwriting and product strategy.  
The session will discuss the responsibilities insurers have under the Consumer Duty and ESG agendas, and how mental health investment can promote long-term customer outcomes and sustainable growth. 
This talk offers a multi-faceted, real-world view of the current state – and future possibilities – for mental health in insurance. 
This session will be jointly presented by professionals from two different organisations. Lisa Balboa is the Head of Life & Digital Business Accelerator at a global reinsurer, who also brings deep health industry expertise and plays an active role in the IFoA’s Mental Health Working Party. 
Speakers: Lisa Balboa, Hannover Re, and Joe Wilson, RGA"
2025-11-05,16:40 - 17:25,Workshop A3,With-profits: key focus through survey highlights ,"
Using the 2025 With Profits Survey we will be exploring the key focus areas for with-profits funds, covering both a company and external perspective. Topics will include Consumer Duty, asset share approaches and investment performance. There will be a combination of insightful presentations with interactive Q&A sessions. Attendees will gain valuable insights into the with-profits management focus areas. 
Speakers: Kris Overlunde and Desigan Mudliar, PwC, Jonathan Peat from Phoenix, and Craig Burns, Weslyan","Date and Time: 2025-11-05; 16:40 - 17:25
Session: Workshop A3: With-profits: key focus through survey highlights 
Details: 
Using the 2025 With Profits Survey we will be exploring the key focus areas for with-profits funds, covering both a company and external perspective. Topics will include Consumer Duty, asset share approaches and investment performance. There will be a combination of insightful presentations with interactive Q&A sessions. Attendees will gain valuable insights into the with-profits management focus areas. 
Speakers: Kris Overlunde and Desigan Mudliar, PwC, Jonathan Peat from Phoenix, and Craig Burns, Weslyan"
2025-11-05,16:40 - 17:25,Workshop A4,Legal developments in Part VII insurance business transfers ,"
The landscape of insurance business transfers under Part VII of the Financial Services and Markets Act 2000 is evolving, driven by a combination of legal and regulatory change and technology. This session will delve into the latest developments for Part VII insurance business transfers and their implications. 
Topics of discussion will include:
Preservation of tax treatment: examining the recent clarification that Part VII insurance business transfers do not constitute a novation, with a focus on the transfer of Scottish Equitable’s individual protection business to Royal London 
Splitting and replicating contracts: analysing the transfer of Canada Life’s on-shore individual protection business to Countrywide Assured plc, demonstrating the versatility of the Part VII regime 
Digitalisation of policyholder communications: exploring how the process of communicating with policyholders has evolved, and the impact of the Consumer Duty on this evolution 
Sanctions: recent experience navigating the impact of sanctioned individuals and assets on Part VII insurance business transfers 
These developments present opportunities and challenges for insurers.  
This session will be conducted as an interactive discussion with industry legal experts who will share insights and practical experience. 
This session will be of particular interest to senior actuaries. 
Speakers: Peter McCusker and Hamad Akhtar, Pinsent Masons","Date and Time: 2025-11-05; 16:40 - 17:25
Session: Workshop A4: Legal developments in Part VII insurance business transfers 
Details: 
The landscape of insurance business transfers under Part VII of the Financial Services and Markets Act 2000 is evolving, driven by a combination of legal and regulatory change and technology. This session will delve into the latest developments for Part VII insurance business transfers and their implications. 
Topics of discussion will include:
Preservation of tax treatment: examining the recent clarification that Part VII insurance business transfers do not constitute a novation, with a focus on the transfer of Scottish Equitable’s individual protection business to Royal London 
Splitting and replicating contracts: analysing the transfer of Canada Life’s on-shore individual protection business to Countrywide Assured plc, demonstrating the versatility of the Part VII regime 
Digitalisation of policyholder communications: exploring how the process of communicating with policyholders has evolved, and the impact of the Consumer Duty on this evolution 
Sanctions: recent experience navigating the impact of sanctioned individuals and assets on Part VII insurance business transfers 
These developments present opportunities and challenges for insurers.  
This session will be conducted as an interactive discussion with industry legal experts who will share insights and practical experience. 
This session will be of particular interest to senior actuaries. 
Speakers: Peter McCusker and Hamad Akhtar, Pinsent Masons"
2025-11-05,16:40 - 17:25,Workshop A5,Global macro pivot: impact on UK pensions and insurance?,"
The recent shift in the global macro narrative – driven by the prospect of renewed Trump-era tariffs – marks a potential turning point in market dynamics. Proposals range from sweeping 10% tariffs on all imports to targeted 60% levies on Chinese goods. We’re entering an environment that could reshape inflation expectations, trade flows, and central bank reaction functions. While this might initially seem like a US-centric development, the implications for UK institutional investors are real and underappreciated. 
This session will explore how these global currents interact with the UK’s long-duration balance sheets – particularly for insurers and pension schemes. Rising inflation risks, diverging monetary policy paths between the Fed and BoE, and volatility in real rates all have knock-on effects on solvency positions, funding ratios, and hedging strategies. 
Key discussion points will include: 
The potential revaluation of inflation-linked liabilities 
Cross-border capital shifts and their impact on GBP asset markets 
Implications for strategic asset allocation and regulatory capital efficiency 
How insurers and pension funds might respond – defensively or opportunistically – to a more fragmented global economy 
This is not a forecast – it’s a framework. One that asks whether existing portfolio and balance sheet strategies are robust enough to navigate a world that may be returning to old patterns of geopolitical and economic rivalry. 
Speaker: Ashwinder Moti, Goldman Sachs","Date and Time: 2025-11-05; 16:40 - 17:25
Session: Workshop A5: Global macro pivot: impact on UK pensions and insurance?
Details: 
The recent shift in the global macro narrative – driven by the prospect of renewed Trump-era tariffs – marks a potential turning point in market dynamics. Proposals range from sweeping 10% tariffs on all imports to targeted 60% levies on Chinese goods. We’re entering an environment that could reshape inflation expectations, trade flows, and central bank reaction functions. While this might initially seem like a US-centric development, the implications for UK institutional investors are real and underappreciated. 
This session will explore how these global currents interact with the UK’s long-duration balance sheets – particularly for insurers and pension schemes. Rising inflation risks, diverging monetary policy paths between the Fed and BoE, and volatility in real rates all have knock-on effects on solvency positions, funding ratios, and hedging strategies. 
Key discussion points will include: 
The potential revaluation of inflation-linked liabilities 
Cross-border capital shifts and their impact on GBP asset markets 
Implications for strategic asset allocation and regulatory capital efficiency 
How insurers and pension funds might respond – defensively or opportunistically – to a more fragmented global economy 
This is not a forecast – it’s a framework. One that asks whether existing portfolio and balance sheet strategies are robust enough to navigate a world that may be returning to old patterns of geopolitical and economic rivalry. 
Speaker: Ashwinder Moti, Goldman Sachs"
2025-11-05,16:40 - 17:25,Workshop A6,Would you like any open source with your models today? ,"
Is open-source software truly a viable alternative to traditional vendor-maintained offerings? We will look at the reasons for choosing open source, supported with AI, as a preferred method of implementation when we onboarded a recent new client. We will look at the decisions and choices from both the company’s designated chief actuary and the implementation partners’ viewpoints. 
We will present our thoughts and findings by answering several key questions related to the process: 
How did we determine open source as the preferred option in this case? 
What were the perceived risks of using a fairly new approach? 
Did we approach the implementation any differently? 
What were the pros and cons along the way? 
Did we achieve everything we set out to? 
There will be time at the end for further questions from the audience to both the chief actuary and the implementation partner lead. 
We hope this session will appeal to anyone interested in modelling and technology. And to those who want to understand how the landscape is shifting with the advent of an increased appreciation of open-source capabilities and how AI has helped this shift. 
The presentation will discuss a real-world example referenced in a LinkedIn post.
Speakers: Gillian Mathias and Amit Lad from Barnet Waddingham","Date and Time: 2025-11-05; 16:40 - 17:25
Session: Workshop A6: Would you like any open source with your models today? 
Details: 
Is open-source software truly a viable alternative to traditional vendor-maintained offerings? We will look at the reasons for choosing open source, supported with AI, as a preferred method of implementation when we onboarded a recent new client. We will look at the decisions and choices from both the company’s designated chief actuary and the implementation partners’ viewpoints. 
We will present our thoughts and findings by answering several key questions related to the process: 
How did we determine open source as the preferred option in this case? 
What were the perceived risks of using a fairly new approach? 
Did we approach the implementation any differently? 
What were the pros and cons along the way? 
Did we achieve everything we set out to? 
There will be time at the end for further questions from the audience to both the chief actuary and the implementation partner lead. 
We hope this session will appeal to anyone interested in modelling and technology. And to those who want to understand how the landscape is shifting with the advent of an increased appreciation of open-source capabilities and how AI has helped this shift. 
The presentation will discuss a real-world example referenced in a LinkedIn post.
Speakers: Gillian Mathias and Amit Lad from Barnet Waddingham"
2025-11-05,16:40 - 17:25,Workshop A7 | Funded Reinsurance Working Party,Evolving landscape of the UK funded reinsurance market ,"
Funded reinsurance is playing an increasingly important role in the UK’s bulk annuity market, enabling growth by diversifying asset sourcing and securing additional capital. Over the past 12 to 18 months, the market has seen notable innovation alongside growing global regulatory scrutiny. 
In this session, representatives from the IFoA’s UK Funded Reinsurance Working Party will examine key market developments and share their outlook at this pivotal moment. The session will also provide an overview of the working party’s objectives and ongoing initiatives. 
Speakers: Wei Hou, Gallagher Re","Date and Time: 2025-11-05; 16:40 - 17:25
Session: Workshop A7 | Funded Reinsurance Working Party: Evolving landscape of the UK funded reinsurance market 
Details: 
Funded reinsurance is playing an increasingly important role in the UK’s bulk annuity market, enabling growth by diversifying asset sourcing and securing additional capital. Over the past 12 to 18 months, the market has seen notable innovation alongside growing global regulatory scrutiny. 
In this session, representatives from the IFoA’s UK Funded Reinsurance Working Party will examine key market developments and share their outlook at this pivotal moment. The session will also provide an overview of the working party’s objectives and ongoing initiatives. 
Speakers: Wei Hou, Gallagher Re"
2025-11-05,16:40 - 17:25,Workshop A8,More than a price: unlocking value through additive features in BPA transactions ,"
The talk will focus on the increasingly common additive components to BPA deals– such as termination rights, residual risk covers, and price locks – and how they are shaping transaction outcomes for both trustees and insurers. 
Attendees will gain insights into how these features function in practice, their impact on pricing and risk, and the circumstances in which they are most beneficial. The session will explore market trends, insurer approaches to structuring these options, and the legal and operational considerations trustees must weigh. 
We will draw on recent transactions, anonymised case studies, and input from legal and broking professionals. 
Speakers: Zubair Arshed, Grant Thornton and Matthew Nelmes, JUST Group","Date and Time: 2025-11-05; 16:40 - 17:25
Session: Workshop A8: More than a price: unlocking value through additive features in BPA transactions 
Details: 
The talk will focus on the increasingly common additive components to BPA deals– such as termination rights, residual risk covers, and price locks – and how they are shaping transaction outcomes for both trustees and insurers. 
Attendees will gain insights into how these features function in practice, their impact on pricing and risk, and the circumstances in which they are most beneficial. The session will explore market trends, insurer approaches to structuring these options, and the legal and operational considerations trustees must weigh. 
We will draw on recent transactions, anonymised case studies, and input from legal and broking professionals. 
Speakers: Zubair Arshed, Grant Thornton and Matthew Nelmes, JUST Group"
